,episode_number,title,description,updated_at,duration,uploaded_at,counts,urls
0,519,The Boys - 3era. Temporada,"Acá está nuestro podcast sobre la tercera temporada de The Boys, una muy buena serie de superhéroes, que perdió mucho de lo que la diferenciaba de las otras.

#Podcast #Television #Series #TheBoys",2022-07-16T00:39:36.334Z,50,2022-07-15T16:43:37.804Z,1256,https://audioboom.com/posts/8121828-519-the-boys-3era-temporada
1,518,Stranger Things 4,"Esto es nuestro podcast sobre la cuarta temporada de Stranger Things. Si ya tuviste tiempo de ver las ochenta y seis horas que dura, escuchanos.

#Podcast #Television #Series #Netflix #StrangerThings #DufferBrothers",2022-07-11T23:00:00.232Z,66,2022-07-11T13:57:41.867Z,2453,https://audioboom.com/posts/8118268-518-stranger-things-4
2,517,The Black Phone,"Este podcast es sobre The Black Phone, una de terror sencilla, cerrada y muy entretenida (al margen de que trata sobre niños secuestrados y asesinados).

#Podcast #Cine #Peliculas #TheBlackPhone #ScottDerrickson",2022-07-06T21:00:00.620Z,42,2022-07-06T03:51:43.223Z,1391,https://audioboom.com/posts/8115773-517-the-black-phone
3,516,Lightyear,"En este podcast hablamos casi tanto de Lightyear en sí misma como de la extraña idea de que se supone que es la película favorita de Andy, una persona que no existe.

#Podcast #Cine #Peliculas #Animacion #Disney #Pixar #Lightyear",2022-06-27T21:00:00.225Z,57,2022-06-23T18:51:46.292Z,2201,https://audioboom.com/posts/8108539-516-lightyear
4,515,Barry - 3era. temporada,"Tarde pero seguro, acá está nuestro podcast sobre la intensa tercera temporada de Barry, una de las mejores series del momento.

#Podcast #Television #Series #HBO #Barry #BillHader",2022-06-21T00:00:01.041Z,85,2022-06-20T21:09:01.398Z,1634,https://audioboom.com/posts/8105830-515-barry-3era-temporada
5,514,X,"En este podcast hablamos de una de esas películas que tienen el factor X.

#Podcast #Cine #Peliculas #X #TiWest",2022-06-29T17:41:44.545Z,62,2022-06-20T16:00:19.573Z,1619,https://audioboom.com/posts/8105652-514-x
6,513,Everything Everywhere All at Once,"En este podcast hablamos de Everything Everywhere All at Once, una película de la que varios de nosotros esperábamos mucho, pero que para la mayoría fue una decepción.

#Podcast #Cine #Peliculas #EverythingEverywhereAllatOnce #Daniels",2022-06-29T17:41:22.239Z,47,2022-06-20T16:00:16.524Z,2201,https://audioboom.com/posts/8105651-513-everything-everywhere-all-at-once
7,512,American Beauty,"En este podcast, el cuarto Quémese à la carte, hablamos de la belleza de American Beauty, una de nuestras películas favoritas.

#Podcast #Cine #Peliculas #AmericanBeauty #BellezaAmericana #SamMendes #AlanBall",2022-06-18T01:51:04.318Z,65,2022-06-17T19:26:45.078Z,2235,https://audioboom.com/posts/8104725-512-american-beauty
8,511,Jurassic World Dominion,"Este podcast es sobre Jurassic World Dominion, probablemente la peor película de la que vamos a hablar este año. Si la viste... Lo lamentamos un montón.

#Podcast #Cine #Peliculas #JurassicWorld #Dominion #ColinTrevorrow #Dinosaurios",2022-06-13T21:00:00.083Z,48,2022-06-13T18:51:33.960Z,2192,https://audioboom.com/posts/8101442-511-jurassic-world-dominion
9,510,Top Gun: Maverick,"Este podcast es sobre Top Gun: Maverick, una película que vuela directo, sin escalas, a la lista de las mejores películas de acción jamás filmadas. Si ya la viste, escuchanos.

#Podcast #Cine #Peliculas #TopGunMaverick #TomCruise",2022-06-06T21:00:00.719Z,62,2022-06-06T18:40:12.785Z,2608,https://audioboom.com/posts/8096261-510-top-gun-maverick
